Module,Section,Check ID,Priority,Check Item,Steps,Expected Result,Pass (Y/N/NA),Notes,Tester,Date,Environment
Library — Draw,Create & Import,DRW-02,P0,Create new drill,,"Type drill, ball tool available in designer",,,,,
Library — Draw,Create & Import,DRW-03,P1,Import .fdb file,Import .fdb → select FastDraw export,Plays imported with thumbnails,,,,,
Library — Draw,Create & Import,DRW-04,P2,Deep link ?new=1 opens create,,Create modal auto-opens,,,,,
Library — Draw,Create & Import,DRW-05,P2,Deep link ?import=1 opens import,,Import picker auto-opens,,,,,
Library — Draw,Browse & Filter,DRW-10,P0,Type chips filter (All/Favorites/Plays/Drills),,List count changes correctly,,,,,
Library — Draw,Browse & Filter,DRW-11,P1,Search by play name,,Matching plays only,,,,,
Library — Draw,Browse & Filter,DRW-12,P1,Season/team/series/tags filters,,Combined filters work,,,,,
Library — Draw,Browse & Filter,DRW-13,P1,Sort control changes order,,"Order updates, persists preference",,,,,
Library — Draw,Browse & Filter,DRW-14,P1,Pagination (50/page),,Next/prev pages work,,,,,
Library — Draw,Browse & Filter,DRW-15,P1,Preview panel shows frames + animation,,Select row → preview updates,,,,,
Library — Draw,Browse & Filter,DRW-15b,P0,Preview frames grid columns (admin setting),Admin Appearance → Columns=2 → Apply → open Library preview with 4+ frames,2 frames side-by-side (not locked to 3),,,,,
Library — Draw,Browse & Filter,DRW-15c,P0,Frames grid syncs to coach account,Admin sets Columns=2 → Apply → login as coach,Coach also sees 2 columns (not default 3),,,,,
Library — Draw,Browse & Filter,DRW-16,P2,List/preview split width from settings,,Layout matches Appearance list split %,,,,,
Library — Draw,Browse & Filter,DRW-17,P1,Favorite toggle,,"Star persists, Favorites filter works",,,,,
Library — Draw,Row Actions & Bulk,DRW-20,P0,Open in designer,,/designer?item=id loads play,,,,,
Library — Draw,Row Actions & Bulk,DRW-21,P1,Duplicate play,,Copy appears with distinct id,,,,,
Library — Draw,Row Actions & Bulk,DRW-22,P1,Edit details modal,,Metadata saves,,,,,
Library — Draw,Row Actions & Bulk,DRW-23,P1,Delete with confirm,,Play removed,,,,,
Library — Draw,Row Actions & Bulk,DRW-24,P2,Context menu all actions,,Right-click menu complete,,,,,
Library — Draw,Row Actions & Bulk,DRW-25,P2,Bulk selection operations,,Multi-select works,,,,,
Library — Draw,Preview — Present / Print / Share,DRW-30,P1,Present overlay animation,Present → Space/ arrows,"Play/pause, frame step, Esc close",,,,,
Library — Draw,Preview — Present / Print / Share,DRW-31,P1,Print single play PDF,,Print overlay → Save as PDF,,,,,
Library — Draw,Preview — Present / Print / Share,DRW-32,P1,Share link generation,,"URL with #s= hash, opens in incognito",,,,,
Library — Draw,Preview — Present / Print / Share,DRW-33,P2,Add to playbook from preview,,Play added to selected playbook,,,,,
Library — Draw,Preview — Present / Print / Share,DRW-34,P2,Add to practice from preview,,Practice block created,,,,,
Library — Draw,Library Clean,DRW-40,P2,Library Clean panel opens,,Review queue visible,,,,,
Library — Draw,Library Clean,DRW-41,P2,Duplicate detection,,Duplicate groups listed,,,,,
Library — Draw,Library Clean,DRW-42,P2,Duplicate merge,,"Merged play correct, duplicate removed",,,,,
Library — Playbooks,Playbooks Core,PB-01,P0,Create playbook,,Appears in sidebar list,,,,,
Library — Playbooks,Playbooks Core,PB-02,P0,Add/remove plays,,Preview updates,,,,,
Library — Playbooks,Playbooks Core,PB-03,P1,Rename playbook,,Name persists,,,,,
Library — Playbooks,Playbooks Core,PB-04,P1,Delete playbook,,"Playbook gone, plays remain",,,,,
Library — Playbooks,Playbooks Core,PB-05,P1,Inline preview zoom/pages,,Navigate multi-page layout,,,,,
Library — Playbooks,Print & Share,PB-10,P0,Download/Print PDF,Print settings → Print/Save PDF,"PDF with branding, all plays",,,,,
Library — Playbooks,Print & Share,PB-11,P1,Print settings — live preview without Save,,Changing options updates preview immediately,,,,,
Library — Playbooks,Print & Share,PB-11b,P1,Print TOC grouped by series/tags,,Table of contents groups correctly,,,,,
Library — Playbooks,Print & Share,PB-11c,P1,showPlayTitles toggle,,Titles appear/hide; do not consume frame slots,,,,,
Library — Playbooks,Print & Share,PB-11d,P2,eachPlayNewLine packing,,Plays pack / pad as configured,,,,,
Library — Playbooks,Print & Share,PB-12,P1,Share to players,,Roster picker → link works incognito,,,,,
Library — Playbooks,Print & Share,PB-13,P2,Save to cloud (cloud user),,Sync completes without error,,,,,
Opponent Scout,Reports & Players,OS-01,P0,Create new scout report,Opponent Scout → New → team name → Save,Report in sidebar list,,,,,
Opponent Scout,Reports & Players,OS-02,P0,Add players + stats + strengths/weaknesses,,Fields save; Ctrl+S works,,,,,
Opponent Scout,Reports & Players,OS-03,P1,Upload team logo + player photo,,Images compress; appear in editor,,,,,
Opponent Scout,Reports & Players,OS-04,P1,Duplicate report,,"Copy with “(copy)” name, new ids",,,,,
Opponent Scout,Reports & Players,OS-05,P1,Delete report with confirm,,Removed from list,,,,,
Opponent Scout,Reports & Players,OS-06,P1,Unsaved guard,Edit → switch report / New / close tab,Confirm discard or beforeunload,,,,,
Opponent Scout,Reports & Players,OS-07,P2,Quota error on huge photos,,"Friendly storage message, no crash",,,,,
Opponent Scout,Print,OS-10,P0,Print / Export scout PDF,,"Players, logo, strengths/weaknesses",,,,,
Opponent Scout,Print,OS-11,P1,Empty stats hidden (no — clutter),,Only filled stat columns print,,,,,
Opponent Scout,Print,OS-12,P2,Page footer only if multi-page,,No fake “1 of 1” alone,,,,,
Library — Game Plan,Plan Management,GP-01,P0,Create game plan (opponent),,"Plan in list, draft status",,,,,
Library — Game Plan,Plan Management,GP-02,P0,Add plays to categories,,Entries appear per category,,,,,
Library — Game Plan,Plan Management,GP-03,P1,Edit call names and entry notes,,Saves on apply,,,,,
Library — Game Plan,Plan Management,GP-04,P1,Suggest plays modal,,Library matches suggested,,,,,
Library — Game Plan,Plan Management,GP-05,P1,Duplicate / rematch / archive,,Each action correct,,,,,
Library — Game Plan,Plan Management,GP-06,P2,Deep link ?plan=id,,Plan auto-selected,,,,,
Library — Game Plan,Plan Management,GP-07,P1,Scouting keys + post-game notes,,Text persists,,,,,
Library — Game Plan,Opponent Board & Film Evidence,GP-10,P0,Add opponent tendency preset,,Chip on board,,,,,
Library — Game Plan,Opponent Board & Film Evidence,GP-11,P1,Suggested defense plays → Add,,Play in Defense category,,,,,
Library — Game Plan,Opponent Board & Film Evidence,GP-12,P0,Film evidence panel links,After AI scout apply,Watch clip ↗ opens Film Room at timestamp,,,,,
Library — Game Plan,Opponent Board & Film Evidence,GP-13,P0,Film evidence Designer read frame link,Scout with disruption offense match,Reject frame ↗ opens Designer at read frame,,,,,
Library — Game Plan,Opponent Board & Film Evidence,GP-14,P1,Opponent history import,,Prior scout merged,,,,,
Library — Game Plan,Opponent Board & Film Evidence,GP-15,P1,Clip button on film-linked tendency,,Correct session + time,,,,,
Library — Game Plan,Game Day & Timeout,GP-20,P0,Game Day full-screen board,,Categories navigable,,,,,
Library — Game Plan,Game Day & Timeout,GP-21,P0,Staff live view link sync,"2 browsers, change category",Remote view updates,,,,,
Library — Game Plan,Game Day & Timeout,GP-22,P1,Timeout mode slides,,Counter cues from AI scout,,,,,
Library — Game Plan,Game Day & Timeout,GP-22b,P0,Timeout counters panel — list / edit / delete,Game Plan → Timeout counters,Cues listed; edit fields; remove; priority changes Game Day order,,,,,
Library — Game Plan,Game Day & Timeout,GP-22c,P0,Add counter from Counter Library,From library → pick tagged defense play,Cue created with defensePlayId; optional add to Defense category,,,,,
Library — Game Plan,Game Day & Timeout,GP-22d,P1,Add counter manually,Add manual → fill title/detail/coverage,Cue on plan; appears in Timeout / Game Day top 3 by priority,,,,,
Library — Game Plan,Game Day & Timeout,GP-23,P0,Timeout offense read slides,Game plan with film refs + playId,"Read frame diagram, Designer + film links",,,,,
Library — Game Plan,Game Day & Timeout,GP-24,P0,Game Day offense read strip,,Read cards with thumbnail on board header,,,,,
Library — Game Plan,Game Day & Timeout,GP-25,P1,Bench card PDF print,,One-page call sheet,,,,,
Library — Game Plan,Homework & Practice Prep,GP-30,P1,Create player homework,,Assignment with due date,,,,,
Library — Game Plan,Homework & Practice Prep,GP-31,P1,Share homework per player,,Personalized link,,,,,
Library — Game Plan,Homework & Practice Prep,GP-32,P1,Player ack opened/studied,Incognito homework link,Coach panel counts update,,,,,
Library — Game Plan,Homework & Practice Prep,GP-33,P0,Assign disruption reads to homework,Film Room → Analyze → Player homework,Read items with liveCall + read frame in share link,,,,,
Library — Game Plan,Homework & Practice Prep,GP-34,P1,Player homework film read study,Incognito homework link,"CALL banner, Study read opens at frame",,,,,
Library — Game Plan,Homework & Practice Prep,GP-35,P2,Prep practice before game,,Practice session created with date,,,,,
Library — Game Plan,Homework & Practice Prep,GP-36,P1,Practice read rollup on game plan,Mark reads in practice for plan plays,Rollup panel shows % landed per play,,,,,
Library — Game Plan,Homework & Practice Prep,GP-37,P1,Opponent read rollup on game plan,Prep vs opponent + mark reads,vs Opponent panel shows call-level % landed,,,,,
Library — Game Plan,Homework & Practice Prep,GP-38,P1,Game Day / timeout read success %,Marked reads in prep vs opponent,Offense read cards + timeout slides show e.g. 67% landed,,,,,
Library — Game Plan,Homework & Practice Prep,GP-39,P1,Prep read drill recommendations,Weak reads vs opponent + timeout coverage cues,"Prep read drills panel lists calls, blocks, coverage badge",,,,,
Library — Game Plan,Homework & Practice Prep,GP-40,P1,One-click prep with read drills,Prep practice on game plan with recommendations,Session includes plan plays + auto-added read drill blocks,,,,,
Library — Game Plan,Homework & Practice Prep,GP-41,P1,Post-game read import on archive,Mark reads in prep then archive game plan,Post-game notes pre-filled with vs opponent read summary,,,,,
Library — Fields,Seasons / Teams / Series / Tags,FLD-01,P1,Create team,,Available in play filters & Players,,,,,
Library — Fields,Seasons / Teams / Series / Tags,FLD-02,P1,Rename field value,,Plays reflect new name,,,,,
Library — Fields,Seasons / Teams / Series / Tags,FLD-03,P2,Delete unused field,,Removed from lists,,,,,
Library — Fields,Seasons / Teams / Series / Tags,FLD-04,P2,Play count per field accurate,,Count matches library,,,,,
Library — Practice,Session Builder,PRC-01,P0,Create practice session,,Session in list,,,,,
Library — Practice,Session Builder,PRC-02,P0,Add play blocks + cue blocks,,Duration totals correct,,,,,
Library — Practice,Session Builder,PRC-03,P1,Drag reorder blocks,,Order persists,,,,,
Library — Practice,Session Builder,PRC-04,P1,Add whole playbook,,Plays expanded into blocks,,,,,
Library — Practice,Session Builder,PRC-05,P2,Save/load template,,Template reusable,,,,,
Library — Practice,Session Builder,PRC-06,P2,Missing play warning,,Flagged in UI,,,,,
Library — Practice,Live Mode,PRC-10,P0,Live timer start/pause (Space),,Timer counts down,,,,,
Library — Practice,Live Mode,PRC-11,P1,Next/prev block (arrows),,Block highlight moves,,,,,
Library — Practice,Live Mode,PRC-12,P1,Mark done & advance (Enter),,Advances to next block,,,,,
Library — Practice,Live Mode,PRC-13,P1,Exit live (Esc),,Returns to planner,,,,,
Library — Practice,Live Mode,PRC-14,P0,Disruption CALL banner,Add reads from Film Room,Large red CALL + read frame thumbnail,,,,,
Library — Practice,Live Mode,PRC-15,P1,Share view live call sync,Practice share + live mode,Live call updates on share page,,,,,
Library — Practice,Live Mode,PRC-16,P1,Read outcome Landed / Missed,Practice Live block with CALL,Toggle saves readOutcome on item,,,,,
Library — Practice,Live Mode,PRC-17,P1,Session read scorecard,Mark reads in Live → open planner,Scorecard shows % landed/missed + trend,,,,,
Library — Practice,Live Mode,PRC-18,P1,Player attribution on read outcome,Roster players + Practice Live CALL block,Select player when marking Landed/Missed; persists readPlayerId,,,,,
Library — Practice,Print & Share,PRC-20,P1,Session PDF print,,Blocks + durations in PDF,,,,,
Library — Practice,Print & Share,PRC-21,P1,Share practice link,,Read-only in incognito,,,,,
Coach Dashboard,Insights & Drills,COH-01,P0,Coach tab opens dashboard,,"Read success %, film eval, drill suggestions",,,,,
Coach Dashboard,Insights & Drills,COH-02,P1,Practice read trend chart,Mark reads in 2+ sessions,Bars show session success rates,,,,,
Coach Dashboard,Insights & Drills,COH-03,P1,Add drill blocks from suggestion,,New practice session with CALL blocks,,,,,
Coach Dashboard,Insights & Drills,COH-04,P1,Film session evaluation links,,Links open Film Room with analyses,,,,,
Coach Dashboard,Insights & Drills,COH-05,P1,Season trend (10 sessions),Mark reads across 3+ practice sessions,Season chart shows up to 10 dated bars oldest→newest,,,,,
Coach Dashboard,Insights & Drills,COH-06,P1,Player read attribution panel,Assign players in Practice Live,Dashboard lists per-player % landed + top calls,,,,,
Library — Players,Roster,PLR-01,P1,Add player with team,,Appears in roster,,,,,
Library — Players,Roster,PLR-02,P1,Edit/delete player,,CRUD works,,,,,
Library — Players,Roster,PLR-03,P2,Filter by team + search,,List filters,,,,,
Library — Players,Roster,PLR-04,P2,Player in share-to-players picker,,Selectable in homework/share flows,,,,,
Designer,Tools & Objects,DSG-01,P0,Place offense/defense players,O/P and X shortcuts,"Markers snap, labels editable",,,,,
Designer,Tools & Objects,DSG-02,P0,"Draw pass, cut, dribble, screen, shot",L then C/P/B/R/S,"Actions on court, sequence panel",,,,,
Designer,Tools & Objects,DSG-03,P1,Ball on drill (B),,Ball ring on player,,,,,
Designer,Tools & Objects,DSG-04,P1,"Text, cone, flag, shadow, zone tools",,Objects place and edit,,,,,
Designer,Tools & Objects,DSG-05,P1,Delete selected (Delete key),,Object/action removed,,,,,
Designer,Tools & Objects,DSG-06,P0,Undo/redo (Ctrl+Z / Ctrl+Y),,5+ steps reversible,,,,,
Designer,Tools & Objects,DSG-07,P1,Save stays in editor (Ctrl+S),,Saved notice; remain on /designer,,,,,
Designer,Tools & Objects,DSG-08,P1,Line mode P = Pass,,Pass action drawn,,,,,
Designer,Tools & Objects,DSG-09,P1,Frame nav [ ] and Ctrl+D duplicate,,Prev/next frame; duplicate frame,,,,,
Designer,Frames & Animation,DSG-10,P0,Add/duplicate/delete frames,,Frame strip updates,,,,,
Designer,Frames & Animation,DSG-11,P0,Animation playback,,"Smooth, ball transfers",,,,,
Designer,Frames & Animation,DSG-12,P1,Player propagation across frames,,Positions propagate per rules,,,,,
Designer,Frames & Animation,DSG-13,P1,Frame notes rich text,,Notes save and print,,,,,
Designer,Frames & Animation,DSG-14,P2,Import frame from library play,,Frame content copied,,,,,
Designer,Frames & Animation,DSG-15,P2,Mirror frame (Ctrl+Shift+M),,Horizontal mirror,,,,,
Designer,Frames & Animation,DSG-16,P2,Formations / FastBuild,,Preset layout applied,,,,,
Designer,Frames & Animation,DSG-17,P0,Read branch frame (coverage read),Add read frame on frame,Read branch linked to parent frame,,,,,
Designer,Frames & Animation,DSG-18,P0,Deep link ?item=&frame=N,,Designer opens at read frame,,,,,
Designer,Court Settings,DSG-20,P1,Half vs full court,,Layout changes,,,,,
Designer,Court Settings,DSG-21,P1,Court template (NCAA/NBA/FIBA/HS),,Lines match template,,,,,
Designer,Court Settings,DSG-22,P2,Wood texture + line toggles,,Visual updates,,,,,
Designer,Save & Export,DSG-30,P0,Save persists to library,Edit → navigate away → return,Changes kept,,,,,
Designer,Save & Export,DSG-31,P1,Unsaved changes guard,,Prompt on leave,,,,,
Designer,Save & Export,DSG-32,P1,Share link from designer,,Valid #s= URL,,,,,
Designer,Save & Export,DSG-33,P2,Export MP4 animation,,Video downloads (Chrome/Edge),,,,,
Designer,Save & Export,DSG-34,P2,Export PNG frames,,Images download,,,,,
Designer,Save & Export,DSG-35,P2,Print from designer,,Print overlay works,,,,,
Film Room,Sessions & Video,FIL-01,P0,Upload MP4 session (button),,"Session in sidebar, video plays",,,,,
Film Room,Sessions & Video,FIL-01b,P1,Drag-drop MP4 upload,,Same as button upload; quota errors friendly,,,,,
Film Room,Sessions & Video,FIL-02,P2,YouTube URL session (if still enabled),,Embeds and scrubs — or feature removed,,,,,
Film Room,Sessions & Video,FIL-04,P1,Delete session,,Removed with confirm,,,,,
Film Room,Sessions & Video,FIL-05,P1,Deep link ?session=&t=,,"Opens session, seeks to time",,,,,
Film Room,Annotation & Navigation,FIL-10,P1,Pen/laser strokes time-synced,,"Strokes appear at playhead, rewind shows again",,,,,
Film Room,Annotation & Navigation,FIL-11,P1,Shuttle wheel seek,,Fine scrub works,,,,,
Film Room,Annotation & Navigation,FIL-12,P0,Space always play/pause,,Works even when focus not on video,,,,,
Film Room,Annotation & Navigation,FIL-12b,P1,Jog ←/→ or J/L,,Frame/time jog,,,,,
Film Room,Annotation & Navigation,FIL-12c,P1,Fullscreen F,,Works in fullscreen,,,,,
Film Room,Annotation & Navigation,FIL-13,P2,Clear drawing vs AC,,Clear removes strokes; AC behaves as designed,,,,,
Film Room,Coach Tags & Bookmarks,FIL-20,P0,Tag events 1–7 at playhead,,Orange markers on timeline,,,,,
Film Room,Coach Tags & Bookmarks,FIL-21,P1,Undo last tag / edit tag,,Tag updated or removed,,,,,
Film Room,Coach Tags & Bookmarks,FIL-22,P0,Add chapter bookmark (B key),,Bookmark created; no Chapter UI panel required,,,,,
Film Room,Coach Tags & Bookmarks,FIL-23,P2,Chapter panel removed from UI,,No “Chapter at… / Add chapter” card in sidebar,,,,,
Film Room,Coach Tags & Bookmarks,FIL-24,P1,Possession playlist seeks bookmarks,,Jump to timestamp from list,,,,,
Film Room,Coach Tags & Bookmarks,FIL-25,P0,Disruption tags H/W/I/T/D/K/P/C/O,,"Red markers, disruption panel",,,,,
Film Room,Coach Tags & Bookmarks,FIL-26,P1,Plan broke here via Shift+B (if scout tools on),,Disruption bookmark; no Plan broke button in chapter bar,,,,,
Film Room,Disruption & Possession Playlist,FIL-50,P0,AI disruption read panel,Analyze clip with ICE/switch tags,"Headline, reads, library variations, ideal gap",,,,,
Film Room,Disruption & Possession Playlist,FIL-51,P0,Possession playlist Start / Next,,"Seeks to bookmark, plays video",,,,,
Film Room,Disruption & Possession Playlist,FIL-52,P1,Playlist filter Disruptions only,,Only disruption bookmarks listed,,,,,
Film Room,Disruption & Possession Playlist,FIL-53,P1,Playlist keyboard [ ] N,,Prev/next possession without mouse,,,,,
Film Room,Disruption & Possession Playlist,FIL-54,P1,Add reads to practice,,Practice blocks with liveCall + notes,,,,,
Film Room,Disruption & Possession Playlist,FIL-55,P1,Add reads to player homework,,Homework readItems on game plan,,,,,
Film Room,Disruption & Possession Playlist,FIL-56,P1,Auto bookmark after AI disruption,,Plan broke here bookmark created,,,,,
Film Room,Disruption & Possession Playlist,FIL-57,P0,Batch analyze possessions,Add disruption tags → Analyze possessions,"Up to 8 clips analyzed, summary notice, Session PDF opens",,,,,
Film Room,Disruption & Possession Playlist,FIL-58,P1,Ideal vs film compare strip,Analyze clip → library variation,Side-by-side Designer read frame and captured film frame,,,,,
Film Room,Disruption & Possession Playlist,FIL-59,P1,Film evaluation strip (xP-lite),Run 2+ analyses on session,Coverage + disruption rate in sidebar,,,,,
Film Room,Disruption & Possession Playlist,FIL-60,P1,Possession reel export + play,Add bookmarks → Play reel / Cut list / JSON,Auto-advances clips; exports manifest with deep links,,,,,
Film Room,Disruption & Possession Playlist,FIL-61,P1,Staff reel share link,Share staff on reel bar,Incognito opens read-only reel overlay,,,,,
Film Room,Disruption & Possession Playlist,FIL-62,P1,Scout PDF v2 evaluation + reel,Session PDF with analyses + bookmarks,Evaluation section + cut list + staff link,,,,,
Film Room,Disruption & Possession Playlist,FIL-63,P2,Upload MP4 reel stitch,Upload MP4 → bookmarks → MP4 export,Browser downloads stitched possession reel,,,,,
Film Room,AI Analyze & Game Plan,FIL-30,P0,Analyze clip (OPENAI configured),Upload MP4 → tag → Analyze,"Modal with summary, tendencies, coaching",,,,,
Film Room,AI Analyze & Game Plan,FIL-31,P0,Frame preview strip (10 frames),,Thumbnails before/during analyze,,,,,
Film Room,AI Analyze & Game Plan,FIL-32,P0,Apply full scout to game plan,,"Tendencies, plays, notes, timeout cues, film refs",,,,,
Film Room,AI Analyze & Game Plan,FIL-33,P1,Add to game plan (manual tendency),,Tendency with film link,,,,,
Film Room,AI Analyze & Game Plan,FIL-34,P1,Analysis history reopen,,Past read opens modal,,,,,
Film Room,AI Analyze & Game Plan,FIL-35,P1,AI off when no OPENAI_API_KEY,,"Hint shown, Analyze disabled",,,,,
Film Room,Scout PDF,FIL-40,P1,Scout PDF from analyze modal,,Print/Save PDF with branding,,,,,
Film Room,Scout PDF,FIL-41,P1,Session PDF with chapters + analyses,,Chapters section + clip links,,,,,
Share Links,Share Types (incognito),SHR-01,P0,Play share link,,"Animation viewable, no login",,,,,
Share Links,Share Types (incognito),SHR-02,P1,Playbook share link,,Read-only playbook,,,,,
Share Links,Share Types (incognito),SHR-03,P1,Practice share link,,Session plan visible,,,,,
Share Links,Share Types (incognito),SHR-04,P1,Game plan share link,,Categories readable,,,,,
Share Links,Share Types (incognito),SHR-05,P1,Homework share + ack,,Opened/studied tracked,,,,,
Share Links,Share Types (incognito),SHR-06,P1,Game day staff link,,Live category sync,,,,,
Settings & Admin,Coach Settings,SET-01,P1,Profile name/email update,,Saves,,,,,
Settings & Admin,Coach Settings,SET-02,P1,"PDF branding (logo, footer)",,Appears on print exports,,,,,
Settings & Admin,Coach Settings,SET-03,P1,Library JSON export/import,,Backup restores plays,,,,,
Settings & Admin,Coach Settings,SET-04,P0,Cloud sync library (cloud user),,"Merge stats, no data loss",,,,,
Settings & Admin,Coach Settings,SET-05,P1,Devices list vs limit,,Accurate device count,,,,,
Settings & Admin,Admin,SET-10,P2,Library nav module toggle,Disable Film Room,"Tab hidden, /film-room redirects",,,,,
Settings & Admin,Admin,SET-11,P2,User role management,,Role change applies,,,,,
Settings & Admin,Admin,SET-12,P2,Org seats and invites,,Coach can join org,,,,,
Settings & Admin,Admin,SET-13,P0,Apply trial on user (All users),Set trial days → Apply trial → Apply,No RLS Cloud sync error; expiresAt updates,,,,,
Settings & Admin,Admin,SET-14,P0,Appearance frames Columns Apply for all coaches,Columns=2 → Apply → login as coach,Coach preview uses 2 columns,,,,,
Settings & Admin,Admin,SET-15,P1,App logo upload / clear to default,,Custom logo shows; Clear restores default orange logo,,,,,
Settings & Admin,Admin,SET-16,P1,Billing prices display,,€99 / €10 / club seats match config,,,,,
Cloud Sync & PWA,Cloud Sync,CLD-01,P0,Two-device sync,Create play on A → sync B,Play on B,,,,,
Cloud Sync & PWA,Cloud Sync,CLD-02,P1,Delete syncs as tombstone,,Removed on other device,,,,,
Cloud Sync & PWA,Cloud Sync,CLD-03,P1,Settings sync,,PDF brand matches,,,,,
Cloud Sync & PWA,Cloud Sync,CLD-04,P0,Team library shared for org coaches,2 coaches same org,Same plays visible,,,,,
Cloud Sync & PWA,Cloud Sync,CLD-05,P1,Empty library protect (no wipe),,Cloud not overwritten by empty local,,,,,
Cloud Sync & PWA,PWA & Offline,PWA-01,P2,Install prompt / Add to Home Screen,,Standalone app opens,,,,,
Cloud Sync & PWA,PWA & Offline,PWA-02,P2,Offline shell after prior visit,,offline.html or cached shell,,,,,
Cloud Sync & PWA,PWA & Offline,PWA-03,P2,Update prompt after deploy,,New version notification,,,,,
Cloud Sync & PWA,PWA & Offline,PWA-04,P1,iPad logo after cache clear,Safari clear website data → reopen,New default logo (not stale cache),,,,,
Production Smoke (fastcourt.eu / vercel.app),15-minute smoke,SMK-01,P0,Login on production,,Library loads,,,,,
Production Smoke (fastcourt.eu / vercel.app),15-minute smoke,SMK-02,P0,Create play → designer → save,,End-to-end OK,,,,,
Production Smoke (fastcourt.eu / vercel.app),15-minute smoke,SMK-03,P0,Film Room analyze on production,,AI returns (if key set),,,,,
Production Smoke (fastcourt.eu / vercel.app),15-minute smoke,SMK-04,P1,Share link on production domain,,Hash decode works,,,,,
Production Smoke (fastcourt.eu / vercel.app),15-minute smoke,SMK-05,P1,Game Plan Game Day on production,,Board opens,,,,,
Production Smoke (fastcourt.eu / vercel.app),15-minute smoke,SMK-06,P0,Opponent Scout save + print,,Report persists and prints,,,,,
Production Smoke (fastcourt.eu / vercel.app),15-minute smoke,SMK-07,P1,Admin Apply trial without Cloud sync error,,No RLS profiles error,,,,,
